Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Erratum to: Impact of model-based iterative reconstruction on low-contrast lesion detection and image quality in abdominal CT: a 12-reader-based comparative phantom study with filtered back projection at different tube voltages","European Radiology","","27","12","10.1007/s00330-017-4985-7","André EulerBram StieltjesZsolt Szucs-FarkasReto EichenbergerClemens ReisingerAnna HirschmannCaroline ZaehringerAchim KircherMatthias StreifSabine BucherDavid BuerglerLuigia D’ErricoSebastién KoppMarkus WilhelmSebastian T. Schindera","2017","http://link.springer.com/article/10.1007/s00330-017-4985-7","Article"
"Erratum to: Glutamate-glutamine and GABA in brain of normal aged and patients with cognitive impairment","European Radiology","","27","7","10.1007/s00330-017-4753-8","Dandan HuangDan LiuJianzhong YinTianyi QianSusan ShresthaHongyan Ni","2017","http://link.springer.com/article/10.1007/s00330-017-4753-8","Article"
"Erratum to: Tubulin-related cerebellar dysplasia: definition of a distinct pattern of cerebellar malformation","European Radiology","","27","12","10.1007/s00330-017-4986-6","Romina RomanielloFilippo ArrigoniElena PanzeriAndrea PorettiAlessia MicalizziAndrea CitterioMaria Francesca BedeschiAngela BerardinelliRaffaella CusmaiStefano D’ArrigoAlessandro FerrarisAnnette HackenbergAlma KuechlerMargherita MancardiSara NuovoBarbara Oehl-Jaschkowitz","2017","http://link.springer.com/article/10.1007/s00330-017-4986-6","Article"
"Erratum to: ESUR recommendations for MR imaging of the sonographically indeterminate adnexal mass: an update","European Radiology","","27","6","10.1007/s00330-016-4656-0","Rosemarie ForstnerIsabelle Thomassin-NaggaraTeresa Margarida CunhaKaren KinkelGabriele MasselliRahel Kubik-HuchJohn A. SpencerAndrea Rockall","2017","http://link.springer.com/article/10.1007/s00330-016-4656-0","Article"
"Erratum to: Comparative assessment of image quality for coronary CT angiography with iobitridol and two contrast agents with higher iodine concentrations: iopromide and iomeprol. A multicentre randomized double-blind trial","European Radiology","","27","2","10.1007/s00330-016-4557-2","Stephan AchenbachJean-François PaulFrançois LaurentHans-Christoph BeckerMarco RengoJerome CaudronSebastian LeschkaOlivier VignauxGesine KnoblochGiorgio BeneaThomas SchlosserJordi AndreuBeatriz CabezaAlexis JacquierMiguel SoutoDidier Revel","2017","http://link.springer.com/article/10.1007/s00330-016-4557-2","Article"
"Non-invasive measurement of liver iron concentration using 3-Tesla magnetic resonance imaging: validation against biopsy","European Radiology","","","","10.1007/s00330-017-5106-3","Gaspard d’AssigniesAnita PaisantEdouard Bardou-JacquetAnne BoulicElise BannierFabrice LainéMartine RopertJeff MorcetHervé Saint-JalmesYves Gandon","2017","http://link.springer.com/article/10.1007/s00330-017-5106-3","Article"
"Erratum to: Prospective Comparison between two different magnetic resonance defecography techniques for evaluating pelvic floor disorders: air-balloon versus gel for rectal filling","European Radiology","","27","3","10.1007/s00330-016-4489-x","Francesca MaccioniNajwa Al AnsariValeria BuonocoreFabrizio MazzamurroMarileda IndinnimeoMassimo MongardiniCarlo Catalano","2017","http://link.springer.com/article/10.1007/s00330-016-4489-x","Article"
"A predictive model for distinguishing radiation necrosis from tumour progression after gamma knife radiosurgery based on radiomic features from MR images","European Radiology","","","","10.1007/s00330-017-5154-8","Zijian ZhangJinzhong YangAngela HoWen JiangJennifer LoganXin WangPaul D. BrownSusan L. McGovernNandita Guha-ThakurtaSherise D. FergusonXenia FaveLifei ZhangDennis MackinLaurence E. CourtJing Li","2017","http://link.springer.com/article/10.1007/s00330-017-5154-8","Article"
"Erratum to: Intravenous injection of gadobutrol in an epidemiological study group did not lead to a difference in relative signal intensities of certain brain structures after 5 years","European Radiology","","27","2","10.1007/s00330-016-4472-6","Marie-Luise KromreyKim Rouven LiedtkeTill IttermannSönke LangnerMichael KirschWerner WeitschiesJens-Peter Kühn","2017","http://link.springer.com/article/10.1007/s00330-016-4472-6","Article"
"Obituary for Prof. Ludovico Dalla Palma","European Radiology","","27","7","10.1007/s00330-017-4837-5","Roberto Pozzi Mucelli","2017","http://link.springer.com/article/10.1007/s00330-017-4837-5","Article"
