Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Erratum to: A retrospective, semi-quantitative image quality analysis of cone-beam computed tomography (CBCT) and MSCT in the diagnosis of distal radius fractures","European Radiology","","26","12","10.1007/s00330-016-4371-x","H. LangJ. NeubauerB. FritzE. M. SpiraJ. StrubeM. LangerE. Kotter","2016","http://link.springer.com/article/10.1007/s00330-016-4371-x","Article"
"Letter to the Editor: Acute extrahepatic infectious or inflammatory diseases are a cause of transient mosaic pattern on CT and MR imaging related to sinusoidal dilatation of the liver","European Radiology","","26","12","10.1007/s00330-016-4295-5","Lionel ArrivéRamiro OrtaNikias ColignonSanaa El MouhadiYves Menu","2016","http://link.springer.com/article/10.1007/s00330-016-4295-5","Article"
"Erratum to: Peritumoral apparent diffusion coefficients for prediction of lymphovascular invasion in clinically node-negative invasive breast cancer","European Radiology","","26","2","10.1007/s00330-015-3888-8","Naoko MoriShunji MugikuraChiaki TakasawaMinoru MiyashitaAkiko ShimauchiHideki OtaTakanori IshidaAtsuko KasajimaKei TakaseTetsuya KodamaShoki Takahashi","2016","http://link.springer.com/article/10.1007/s00330-015-3888-8","Article"
"Erratum to: Performance of ultralow-dose CT with iterative reconstruction in lung cancer screening: limiting radiation exposure to the equivalent of conventional chest X-ray imaging","European Radiology","","26","10","10.1007/s00330-016-4325-3","Adrian HuberJulia LandauLukas EbnerYanik BütikoferLars LeidoltBarbara BrelaMichelle MayJohannes HeverhagenAndreas Christe","2016","http://link.springer.com/article/10.1007/s00330-016-4325-3","Article"
"Erratum to: Navigated MRI-guided liver biopsies in a closed-bore scanner: experience in 52 patients","European Radiology","","26","8","10.1007/s00330-015-4151-z","Michael MocheSusann HeinigNikita GarnovJochen FuchsTim-Ole PetersenDaniel SeiderPhilipp BrandmaierThomas KahnHarald Busse","2016","http://link.springer.com/article/10.1007/s00330-015-4151-z","Article"
"Erratum to: Short- and long-term effects of clinical audits on compliance with procedures in CT scanning","European Radiology","","26","8","10.1007/s00330-015-4148-7","Antonio OliveriNigel HowarthPierre Alain GevenoisDenis Tack","2016","http://link.springer.com/article/10.1007/s00330-015-4148-7","Article"
"Erratum to: Appearances of screen-detected versus symptomatic colorectal cancers at CT colonography","European Radiology","","26","12","10.1007/s00330-016-4370-y","Andrew A. PlumbFiona PathirajaClaire NickersonKatherine WooldrageDavid BurlingStuart A. TaylorWendy S. AtkinSteve Halligan","2016","http://link.springer.com/article/10.1007/s00330-016-4370-y","Article"
"European Radiology","European Radiology","","1 / 1991 - 28 / 2018","","","","","http://link.springer.com/journal/330","Journal"
"HRCT features distinguishing pre-invasive from invasive pulmonary adenocarcinomas appearing as ground-glass nodules","European Radiology","","26","9","10.1007/s00330-015-4131-3","Yu ZhangYan ShenJin Wei QiangJian Ding YeJie ZhangRui Ying Zhao","2016","http://link.springer.com/article/10.1007/s00330-015-4131-3","Article"
"Radiation dose reduction in paediatric coronary computed tomography: assessment of effective dose and image quality","European Radiology","","26","7","10.1007/s00330-015-4032-5","Bouchra Habib GeryesRaphael CalmonDiala KhraicheNathalie BoddaertDamien BonnetFrancesca Raimondi","2016","http://link.springer.com/article/10.1007/s00330-015-4032-5","Article"
