Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Erratum to: Comparison of diagnostic performance between single- and multiphasic contrast-enhanced abdominopelvic computed tomography in patients admitted to the emergency department with abdominal pain: potential radiation dose reduction","European Radiology","","25","5","10.1007/s00330-014-3553-7","Shin Hye HwangJe Sung YouMi Kyong SongJin-Young ChoiMyeong-Jin KimYong Eun Chung","2015","http://link.springer.com/article/10.1007/s00330-014-3553-7","Article"
"Erratum to: Diagnostic performance of direct traction MR arthrography of the hip: detection of chondral and labral lesions with arthroscopic comparison","European Radiology","","25","8","10.1007/s00330-015-3641-3","Florian SchmaranzerAndrea KlauserMichael KoglerBenjamin HenningerThomas ForstnerMarkus ReichkendlerEhrenfried Schmaranzer","2015","http://link.springer.com/article/10.1007/s00330-015-3641-3","Article"
"European Radiology","European Radiology","","1 / 1991 - 28 / 2018","","","","","http://link.springer.com/journal/330","Journal"
"Subcentimeter hypervascular nodule with typical imaging findings of hepatocellular carcinoma in patients with history of hepatocellular carcinoma: natural course on serial gadoxetic acid-enhanced MRI and diffusion-weighted imaging","European Radiology","","25","9","10.1007/s00330-015-3680-9","Kyoung Doo SongSeong Hyun KimHyo Keun LimSin-Ho JungInsuk SohnHyung Sik Kim","2015","http://link.springer.com/article/10.1007/s00330-015-3680-9","Article"
"Wavelet-based calculation of cerebral angiographic data from time-resolved CT perfusion acquisitions","European Radiology","","25","8","10.1007/s00330-015-3651-1","Lukas HavlaKolja M. ThierfelderSebastian E. BeyerWieland H. SommerOlaf Dietrich","2015","http://link.springer.com/article/10.1007/s00330-015-3651-1","Article"
"Prostate Cancer: assessing the effects of androgen-deprivation therapy using quantitative diffusion-weighted and dynamic contrast-enhanced MRI","European Radiology","","25","9","10.1007/s00330-015-3688-1","Andreas M. HötkerYousef MazaheriJunting ZhengChaya S. MoskowitzJoshua BerkowitzJoshua E. LantosXin PeiMichael J. ZelefskyHedvig HricakOguz Akin","2015","http://link.springer.com/article/10.1007/s00330-015-3688-1","Article"
"Imaging differentiation of phytobezoar and small-bowel faeces: CT characteristics with quantitative analysis in patients with small- bowel obstruction","European Radiology","","25","4","10.1007/s00330-014-3486-1","Ya-Cheng ChenChang-Hsien LiuHsian-He HsuChih-Yung YuHong-Hau WangHsiu-Lung FanRan-Chou ChenWei-Chou Chang","2015","http://link.springer.com/article/10.1007/s00330-014-3486-1","Article"
"Evaluation of dose reduction and image quality in CT colonography: Comparison of low-dose CT with iterative reconstruction and routine-dose CT with filtered back projection","European Radiology","","25","1","10.1007/s00330-014-3350-3","Koichi NagataMasanori FujiwaraHidenori KanazawaTomohiro MogiNao IidaToru MitsushimaAlan T. LeforHideharu Sugimoto","2015","http://link.springer.com/article/10.1007/s00330-014-3350-3","Article"
"Embolization in the management of recurrent secondary post-tonsillectomy haemorrhage in children","European Radiology","","25","1","10.1007/s00330-014-3387-3","Maxime GratacapVincent CouloignerGregoire BoulouisJean-François MederFrancis BrunelleOlivier Naggara","2015","http://link.springer.com/article/10.1007/s00330-014-3387-3","Article"
"Quantitative computed tomography assessment of graft-versus-host disease-related bronchiolitis obliterans in children: A pilot feasibility study","European Radiology","","25","10","10.1007/s00330-015-3700-9","Hyun Gi KimHyun Joo ShinYoon Hee KimMyung Hyun SohnChuhl Joo LyuMyung-Joon KimKyung Won KimMi-Jung Lee","2015","http://link.springer.com/article/10.1007/s00330-015-3700-9","Article"
"Prognostic CT and MR imaging features in patients with untreated extranodal non-Hodgkin lymphoma of the head and neck region","European Radiology","","25","10","10.1007/s00330-015-3708-1","Cuiping ZhouXiaohui DuanBowen LanJunjie LiaoJun Shen","2015","http://link.springer.com/article/10.1007/s00330-015-3708-1","Article"
"Prediction of response to neoadjuvant chemotherapy in osteosarcoma using dual-phase 18 F-FDG PET/CT","European Radiology","","25","7","10.1007/s00330-015-3609-3","Byung Hyun ByunSung Hoon KimSang Moo LimIlhan LimChang-Bae KongWon Seok SongWan Hyeong ChoDae-Geun JeonSoo-Yong LeeJae-Soo KohSoo Kyo Chung","2015","http://link.springer.com/article/10.1007/s00330-015-3609-3","Article"
"Respiratory motion artefacts in dynamic liver MRI: a comparison using gadoxetate disodium and gadobutrol","European Radiology","","25","11","10.1007/s00330-015-3736-x","Julian A. LuetkensPatrick A. KupczykJonas DoernerRolf FimmersWinfried A. WillinekHans H. SchildGuido M. Kukuk","2015","http://link.springer.com/article/10.1007/s00330-015-3736-x","Article"
"CT characteristics and pathological implications of early stage (T1N0M0) lung adenocarcinoma with pure ground-glass opacity","European Radiology","","25","9","10.1007/s00330-015-3637-z","Xin JinShao-hong ZhaoJie GaoDian-jun WangJian WuChong-chong WuRui-ping ChangHai-yue Ju","2015","http://link.springer.com/article/10.1007/s00330-015-3637-z","Article"
"Intravoxel water diffusion heterogeneity MR imaging of nasopharyngeal carcinoma using stretched exponential diffusion model","European Radiology","","25","6","10.1007/s00330-014-3535-9","Vincent LaiVictor Ho Fun LeeKa On LamHenry Chun Kin SzeQueenie ChanPek Lan Khong","2015","http://link.springer.com/article/10.1007/s00330-014-3535-9","Article"
"Radiofrequency ablation of chondroblastoma: long-term clinical and imaging outcomes","European Radiology","","25","4","10.1007/s00330-014-3506-1","Cheng XieLee JeysSteven L. J. James","2015","http://link.springer.com/article/10.1007/s00330-014-3506-1","Article"
"Upright CT of the knee: the effect of weight-bearing on joint alignment","European Radiology","","25","11","10.1007/s00330-015-3756-6","Anna HirschmannFlorian M. BuckSandro F. FucenteseChristian W. A. Pfirrmann","2015","http://link.springer.com/article/10.1007/s00330-015-3756-6","Article"
"Evaluation of medial patellofemoral ligament tears after acute lateral patellar dislocation: comparison of high-frequency ultrasound and MR","European Radiology","","25","1","10.1007/s00330-014-3407-3","Guang-Ying ZhangLei ZhengHong-Yu DingEn-Miao LiBai-Sheng SunHao Shi","2015","http://link.springer.com/article/10.1007/s00330-014-3407-3","Article"
"Metal artefact suppression at 3 T MRI: comparison of MAVRIC-SL with conventional fast spin echo sequences in patients with Hip joint arthroplasty","European Radiology","","25","8","10.1007/s00330-015-3628-0","Martin KretzschmarLorenzo NardoMisung M. HanUrsula HeilmeierCraig SamGabby B. JosephKevin M. KochRoland KrugThomas M. Link","2015","http://link.springer.com/article/10.1007/s00330-015-3628-0","Article"
"Two-dimensional shear wave elastography as promising diagnostic tool for predicting malignant thyroid nodules: a prospective single-centre experience","European Radiology","","25","3","10.1007/s00330-014-3455-8","Baoxian LiuJinyu LiangYanling ZhengXiaoyan XieGuangliang HuangLuyao ZhouWei WangMingde Lu","2015","http://link.springer.com/article/10.1007/s00330-014-3455-8","Article"
"CT-guided localization of small pulmonary nodules using adjacent microcoil implantation prior to video-assisted thoracoscopic surgical resection","European Radiology","","25","9","10.1007/s00330-015-3676-5","Tian-Hao SuYue-Feng FanLong JinWen HeLi-Bao Hu","2015","http://link.springer.com/article/10.1007/s00330-015-3676-5","Article"
"Modelling DW-MRI data from primary and metastatic ovarian tumours","European Radiology","","25","7","10.1007/s00330-014-3573-3","Jessica M. WinfieldNandita M. deSouzaAndrew N. PriestJennifer C. WakefieldCharlotte HodgkinSusan FreemanMatthew R. OrtonDavid J. Collins","2015","http://link.springer.com/article/10.1007/s00330-014-3573-3","Article"
