Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Correction to: Magnetic resonance imaging for clinical management of rectal cancer: Updated recommendations from the 2016 European Society of Gastrointestinal and Abdominal Radiology (ESGAR) consensus meeting","European Radiology","","","","10.1007/s00330-017-5204-2","Regina G. H. Beets-TanDoenja M. J. LambregtsMonique MaasShandra BipatBrunella BarbaroLuís Curvo-SemedoHelen M. FenlonMarc J. GollubSofia GourtsoyianniSteve HalliganChristine HoeffelSeung Ho KimAndrea LaghiAndrea MaierSøren R. RafaelsenJaap Stoker","2018","http://link.springer.com/article/10.1007/s00330-017-5204-2","Article"
"Correction to: A predictive model for distinguishing radiation necrosis from tumour progression after gamma knife radiosurgery based on radiomic features from MR images","European Radiology","","","","10.1007/s00330-017-5276-z","Zijian ZhangJinzhong YangAngela HoWen JiangJennifer LoganXin WangPaul D. BrownSusan L. McGovernNandita Guha-ThakurtaSherise D. FergusonXenia FaveLifei ZhangDennis MackinLaurence E. CourtJing Li","2018","http://link.springer.com/article/10.1007/s00330-017-5276-z","Article"
"Correction to: Baseline and annual repeat rounds of screening: implications for optimal regimens of screening","European Radiology","","","","10.1007/s00330-017-5234-9","Claudia I. HenschkeMary SalvatoreMatthew ChamCharles A. PowellLarry DiFabrizioRaja FloresAndrew KaufmanCorey EberRowena YipDavid F. Yankelevitz","2018","http://link.springer.com/article/10.1007/s00330-017-5234-9","Article"
"Correction to: Morphological characteristics of chronic total occlusion: predictors of different strategies for long-segment femoral arterial occlusions","European Radiology","","","","10.1007/s00330-017-5173-5","Li-Ming WeiYue-Qi ZhuPei-Lei ZhangFang LiuHai-Tao LuJun-Gong Zhao","2018","http://link.springer.com/article/10.1007/s00330-017-5173-5","Article"
"Demystifying liver iron concentration measurements with MRI","European Radiology","","","","10.1007/s00330-017-5199-8","B. Henninger","2018","http://link.springer.com/article/10.1007/s00330-017-5199-8","Article"
"In memoriam Prof. Erik Boijsen","European Radiology","","28","4","10.1007/s00330-017-5139-7","Olle EkbergPeter AspelinStanley Baum","2018","http://link.springer.com/article/10.1007/s00330-017-5139-7","Article"
"Erratum to: Greater occipital nerve infiltration under MR guidance: Feasibility study and preliminary results","European Radiology","","28","2","10.1007/s00330-017-5044-0","Adrian KastlerRomain PerolatBruno KastlerCaroline Maindet-DominiciJan FritzAlim Louis BenabidStephan ChabardesAlexandre Krainik","2018","http://link.springer.com/article/10.1007/s00330-017-5044-0","Article"
"Erratum to: Effects of radiation dose reduction in volume perfusion CT imaging of acute ischaemic stroke","European Radiology","","28","2","10.1007/s00330-017-5009-3","Ahmed E. OthmanCarolin BrockmannZepa YangChangwon KimSaif AfatRastislav PjontekOmid NikoubashmanMarc A. BrockmannJong Hyo KimMartin Wiesmann","2018","http://link.springer.com/article/10.1007/s00330-017-5009-3","Article"
"European Radiology","European Radiology","","1 / 1991 - 28 / 2018","","","","","http://link.springer.com/journal/330","Journal"
"The impact of MRI sequence on tumour staging and gross tumour volume delineation in squamous cell carcinoma of the anal canal","European Radiology","","28","4","10.1007/s00330-017-5133-0","Davide PrezziRamin MandegaranSofia GourtsoyianniKatarzyna OwczarczykAndrew GayaRobert Glynne-JonesVicky Goh","2018","http://link.springer.com/article/10.1007/s00330-017-5133-0","Article"
"Nomogram for individualised prediction of liver failure risk after hepatectomy in patients with resectable hepatocellular carcinoma: the evidence from ultrasound data","European Radiology","","28","2","10.1007/s00330-017-4900-2","Hao HuHong HanXi Kun HanWen Ping WangHong Ding","2018","http://link.springer.com/article/10.1007/s00330-017-4900-2","Article"
