licence_ref,licence_ref_n,year,issn,all_published,publisher,journal
http://doi.wiley.com/10.1002/tdm_license_1.1,343,2013,0001-1541,343,Wiley-Blackwell,AIChE Journal
http://doi.wiley.com/10.1002/tdm_license_1.1,223,2013,0001-2815,223,Wiley-Blackwell,Tissue Antigens
http://www.elsevier.com/tdm/userlicense/1.0/,424,2013,0001-4575,530,Elsevier BV,Accident Analysis & Prevention
http://creativecommons.org/licenses/by-nc-nd/3.0/,3,2013,0001-4575,530,Elsevier BV,Accident Analysis & Prevention
http://creativecommons.org/licenses/by/3.0/,2,2013,0001-4575,530,Elsevier BV,Accident Analysis & Prevention
http://creativecommons.org/licenses/by-nc-nd/4.0/,1,2013,0001-4575,530,Elsevier BV,Accident Analysis & Prevention
NA,NA,2013,0001-4788,40,Informa UK Limited,Accounting and Business Research
http://pubs.acs.org/page/policy/authorchoice_termsofuse.html,9,2013,0001-4842,299,American Chemical Society (ACS),Accounts of Chemical Research
http://pubs.acs.org/page/policy/authorchoice_ccby_termsofuse.html,1,2013,0001-4842,299,American Chemical Society (ACS),Accounts of Chemical Research
NA,NA,2013,0001-4966,4367,Acoustical Society of America (ASA),The Journal of the Acoustical Society of America
NA,NA,2013,0001-5903,18,Springer Nature,Acta Informatica
NA,NA,2013,0001-5970,242,Springer Nature,Acta Mechanica
NA,NA,2013,0001-6268,379,Springer Nature,Acta Neurochirurgica
http://doi.wiley.com/10.1002/tdm_license_1.1,144,2013,0001-6314,144,Wiley-Blackwell,Acta Neurologica Scandinavica
NA,NA,2013,0001-6322,161,Springer Nature,Acta Neuropathologica
http://doi.wiley.com/10.1002/tdm_license_1.1,264,2013,0001-6349,264,Wiley-Blackwell,Acta Obstetricia et Gynecologica Scandinavica
NA,NA,2013,0001-6357,147,Informa UK Limited,Acta Odontologica Scandinavica
NA,NA,2013,0001-6489,191,Informa UK Limited,Acta Oto-Laryngologica
http://doi.wiley.com/10.1002/tdm_license_1.1,184,2013,0001-690X,184,Wiley-Blackwell,Acta Psychiatrica Scandinavica
http://www.elsevier.com/tdm/userlicense/1.0/,99,2013,0001-6918,171,Elsevier BV,Acta Psychologica
http://creativecommons.org/licenses/by/3.0/,3,2013,0001-6918,171,Elsevier BV,Acta Psychologica
http://creativecommons.org/licenses/by-nc-sa/3.0/,1,2013,0001-6918,171,Elsevier BV,Acta Psychologica
http://creativecommons.org/licenses/by-nc-nd/3.0/,1,2013,0001-6918,171,Elsevier BV,Acta Psychologica
http://www.elsevier.com/tdm/userlicense/1.0/,201,2013,0001-706X,237,Elsevier BV,Acta Tropica
http://www.elsevier.com/open-access/userlicense/1.0/,17,2013,0001-706X,237,Elsevier BV,Acta Tropica
http://creativecommons.org/licenses/by-nc-nd/3.0/,3,2013,0001-706X,237,Elsevier BV,Acta Tropica
http://creativecommons.org/licenses/by/3.0/,2,2013,0001-706X,237,Elsevier BV,Acta Tropica
http://creativecommons.org/licenses/by-nc-sa/3.0/,1,2013,0001-706X,237,Elsevier BV,Acta Tropica
http://creativecommons.org/licenses/by-nc-nd/4.0/,1,2013,0001-706X,237,Elsevier BV,Acta Tropica
http://doi.wiley.com/10.1002/tdm_license_1.1,42,2013,0001-7272,42,Wiley-Blackwell,Acta Zoologica
NA,NA,2013,0001-7701,153,Springer Nature,General Relativity and Gravitation
NA,NA,2013,0001-8244,60,Springer Nature,Behavior Genetics
http://www.elsevier.com/tdm/userlicense/1.0/,9,2013,0001-8686,43,Elsevier BV,Advances in Colloid and Interface Science
http://www.elsevier.com/tdm/userlicense/1.0/,337,2013,0001-8708,337,Elsevier BV,Advances in Mathematics
http://www.elsevier.com/open-access/userlicense/1.0/,232,2013,0001-8708,337,Elsevier BV,Advances in Mathematics
http://creativecommons.org/licenses/by/3.0/,2,2013,0001-8708,337,Elsevier BV,Advances in Mathematics
http://creativecommons.org/licenses/by-nc-nd/3.0/,2,2013,0001-8708,337,Elsevier BV,Advances in Mathematics
http://creativecommons.org/licenses/by-nc-nd/4.0/,1,2013,0001-8708,337,Elsevier BV,Advances in Mathematics
http://www.elsevier.com/tdm/userlicense/1.0/,6,2013,0001-8791,88,Elsevier BV,Journal of Vocational Behavior
NA,NA,2013,0001-9054,62,Springer Nature,Aequationes mathematicae
