dois,license,journal_title,publisher,issued,issn_type.x,issn,year_flipped,issn_type.y
10.1186/s10397-017-1000-x,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2017,issn_2,1613-2084,2017,issn
10.1186/s10397-017-1004-6,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2017,issn_2,1613-2084,2017,issn
10.1186/s10397-017-1006-4,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2017,issn_2,1613-2084,2017,issn
10.1186/s10397-017-1009-1,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2017,issn_2,1613-2084,2017,issn
10.1186/s10397-017-1008-2,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2017,issn_2,1613-2084,2017,issn
10.1186/s10397-017-1001-9,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2017,issn_2,1613-2084,2017,issn
10.1186/s10397-017-1010-8,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2017,issn_2,1613-2084,2017,issn
10.1186/s10397-017-1012-6,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2017,issn_2,1613-2084,2017,issn
10.1186/s10397-017-1013-5,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2017,issn_2,1613-2084,2017,issn
10.1186/s10397-017-1014-4,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2017,issn_2,1613-2084,2017,issn
10.1186/s10397-017-1015-3,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2017,issn_2,1613-2084,2017,issn
10.1186/s10397-017-1011-7,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2017,issn_2,1613-2084,2017,issn
10.1186/s10397-017-1016-2,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2017,issn_2,1613-2084,2017,issn
10.1186/s10397-017-1018-0,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2017,issn_2,1613-2084,2017,issn
10.1186/s10397-017-1017-1,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2017,issn_2,1613-2084,2017,issn
10.1186/s10397-017-1019-z,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2017,issn_2,1613-2084,2017,issn
10.1186/s10397-017-1020-6,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2017,issn_2,1613-2084,2017,issn
10.1186/s10397-017-1022-4,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2017,issn_2,1613-2084,2017,issn
10.1186/s10397-017-1024-2,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2017,issn_2,1613-2084,2017,issn
10.1186/s10397-017-1025-1,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2017,issn_2,1613-2084,2017,issn
10.1186/s10397-017-1026-0,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2017,issn_2,1613-2084,2017,issn
10.1186/s10397-017-1028-y,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2017,issn_2,1613-2084,2017,issn
10.1186/s10397-017-1030-4,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2017,issn_2,1613-2084,2017,issn
10.1186/s10397-017-1033-1,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2017,issn_2,1613-2084,2017,issn
10.1186/s10397-017-1031-3,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2017,issn_2,1613-2084,2017,issn
10.1186/s10397-017-1035-z,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2018,issn_2,1613-2084,2017,issn
10.1186/s10397-018-1036-6,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2018,issn_2,1613-2084,2017,issn
10.1186/s10397-017-1032-2,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2018,issn_2,1613-2084,2017,issn
10.1186/s10397-017-1034-0,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2018,issn_2,1613-2084,2017,issn
10.1186/s10397-018-1038-4,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2018,issn_2,1613-2084,2017,issn
10.1186/s10397-018-1040-x,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2018,issn_2,1613-2084,2017,issn
10.1186/s10397-018-1037-5,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2018,issn_2,1613-2084,2017,issn
10.1186/s10397-019-1058-8,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2019,issn_2,1613-2084,2017,issn
10.1186/s10397-017-1007-3,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2017,issn_2,1613-2084,2017,issn
10.1186/s10397-017-1027-z,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2017,issn_2,1613-2084,2017,issn
10.1186/s10397-017-1029-x,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2017,issn_2,1613-2084,2017,issn
10.1186/s10397-017-1023-3,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2017,issn_2,1613-2084,2017,issn
10.1186/s10397-018-1045-5,https://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2018,issn_2,1613-2084,2017,issn
10.1186/s10397-018-1046-4,https://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2018,issn_2,1613-2084,2017,issn
10.1186/s10397-018-1047-3,https://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2018,issn_2,1613-2084,2017,issn
10.1186/s10397-018-1048-2,https://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2018,issn_2,1613-2084,2017,issn
10.1186/s10397-019-1061-0,https://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2019,issn_2,1613-2084,2017,issn
10.1186/s10397-018-1050-8,https://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2018,issn_2,1613-2084,2017,issn
10.1186/s10397-018-1039-3,https://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2018,issn_2,1613-2084,2017,issn
10.1186/s10397-018-1042-8,https://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2018,issn_2,1613-2084,2017,issn
10.1186/s10397-018-1043-7,https://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2018,issn_2,1613-2084,2017,issn
10.1186/s10397-018-1044-6,https://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2018,issn_2,1613-2084,2017,issn
10.1186/s10397-018-1049-1,https://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2018,issn_2,1613-2084,2017,issn
