journal_title,publisher,year,yearly_jn_volume,license,license_ref_n,issn,year_founded,year_reverse_flipped,journal_location,society_affiliation,other_sci_affiliation,post_flip_publisher,access_model,apc_pre,apc_post,apc_now,discipline,flipped_oa,born_oa,embargo
Gold Bulletin,Springer Nature,2013,56,http://creativecommons.org/licenses/by/2.0,46,2190-7579,1968,2016,-,0,0,Springer Nature,Hybrid,0,3000,3000,PSM,1,0,12
Gold Bulletin,Springer Nature,2013,56,http://creativecommons.org/licenses/by-nc/2.0,10,2190-7579,1968,2016,-,0,0,Springer Nature,Hybrid,0,3000,3000,PSM,1,0,12
Gold Bulletin,Springer Nature,2014,22,http://creativecommons.org/licenses/by/2.0,1,2190-7579,1968,2016,-,0,0,Springer Nature,Hybrid,0,3000,3000,PSM,1,0,12
Gold Bulletin,Springer Nature,2014,22,http://creativecommons.org/licenses/by/4.0,20,2190-7579,1968,2016,-,0,0,Springer Nature,Hybrid,0,3000,3000,PSM,1,0,12
Gold Bulletin,Springer Nature,2014,22,http://creativecommons.org/licenses/by-nc/2.0,1,2190-7579,1968,2016,-,0,0,Springer Nature,Hybrid,0,3000,3000,PSM,1,0,12
Gold Bulletin,Springer Nature,2015,20,http://creativecommons.org/licenses/by/4.0,19,2190-7579,1968,2016,-,0,0,Springer Nature,Hybrid,0,3000,3000,PSM,1,0,12
Acta Geophysica,Springer Nature,2016,135,http://creativecommons.org/licenses/by/3.0,28,1895-7455,1953,2017,Poland,0,"Institute of Geophysics, Polish Academy of Sciences & Polish Academy of Sciences",Springer Nature,Hybrid,0,3000,3000,PSM,1,0,12
Acta Geophysica,Springer Nature,2016,135,http://creativecommons.org/licenses/by-nc-nd/3.0,37,1895-7455,1953,2017,Poland,0,"Institute of Geophysics, Polish Academy of Sciences & Polish Academy of Sciences",Springer Nature,Hybrid,0,3000,3000,PSM,1,0,12
Acta Geophysica,Springer Nature,2013,95,NA,NA,1895-7455,1953,2017,Poland,0,"Institute of Geophysics, Polish Academy of Sciences & Polish Academy of Sciences",Springer Nature,Hybrid,0,3000,3000,PSM,1,0,12
Acta Geophysica,Springer Nature,2015,81,NA,NA,1895-7455,1953,2017,Poland,0,"Institute of Geophysics, Polish Academy of Sciences & Polish Academy of Sciences",Springer Nature,Hybrid,0,3000,3000,PSM,1,0,12
Acta Geophysica,Springer Nature,2014,48,NA,NA,1895-7455,1953,2017,Poland,0,"Institute of Geophysics, Polish Academy of Sciences & Polish Academy of Sciences",Springer Nature,Hybrid,0,3000,3000,PSM,1,0,12
Research in the Mathematical Sciences,Springer Nature,2016,41,http://creativecommons.org/licenses/by/4.0,41,2197-9847,2014,2018,-,0,0,Springer Nature,Hybrid,980,3000,3000,PSM,0,1,12
Research in the Mathematical Sciences,Springer Nature,2017,28,http://creativecommons.org/licenses/by/4.0,28,2197-9847,2014,2018,-,0,0,Springer Nature,Hybrid,980,3000,3000,PSM,0,1,12
Research in the Mathematical Sciences,Springer Nature,2015,26,http://creativecommons.org/licenses/by/2.0,1,2197-9847,2014,2018,-,0,0,Springer Nature,Hybrid,980,3000,3000,PSM,0,1,12
Research in the Mathematical Sciences,Springer Nature,2015,26,http://creativecommons.org/licenses/by/4.0,24,2197-9847,2014,2018,-,0,0,Springer Nature,Hybrid,980,3000,3000,PSM,0,1,12
Research in the Mathematical Sciences,Springer Nature,2014,14,http://creativecommons.org/licenses/by/2.0,2,2197-9847,2014,2018,-,0,0,Springer Nature,Hybrid,980,3000,3000,PSM,0,1,12
Research in the Mathematical Sciences,Springer Nature,2014,14,http://creativecommons.org/licenses/by/4.0,12,2197-9847,2014,2018,-,0,0,Springer Nature,Hybrid,980,3000,3000,PSM,0,1,12
Integrating Materials and Manufacturing Innovation,Springer Nature,2014,25,http://creativecommons.org/licenses/by/4.0,15,2193-9772,2012,2017,USA,"The Minerals, Metals & Materials Society",0,Springer Nature,Hybrid,1500,3000,3000,PSM,0,1,12
Integrating Materials and Manufacturing Innovation,Springer Nature,2016,14,http://creativecommons.org/licenses/by/4.0,14,2193-9772,2012,2017,USA,"The Minerals, Metals & Materials Society",0,Springer Nature,Hybrid,1500,3000,3000,PSM,0,1,12
Integrating Materials and Manufacturing Innovation,Springer Nature,2015,13,http://creativecommons.org/licenses/by/4.0,13,2193-9772,2012,2017,USA,"The Minerals, Metals & Materials Society",0,Springer Nature,Hybrid,1500,3000,3000,PSM,0,1,12
Integrating Materials and Manufacturing Innovation,Springer Nature,2013,5,NA,NA,2193-9772,2012,2017,USA,"The Minerals, Metals & Materials Society",0,Springer Nature,Hybrid,1500,3000,3000,PSM,0,1,12
Tropical Plant Pathology,Springer Nature,2014,64,NA,NA,1982-5676,1976,2015,Brazil,Brazilian Phytopathology Society,0,Springer Nature,Hybrid,0,3000,3000,LS,1,0,12
Tropical Plant Pathology,Springer Nature,2013,29,NA,NA,1982-5676,1976,2015,Brazil,Brazilian Phytopathology Society,0,Springer Nature,Hybrid,0,3000,3000,LS,1,0,12
