journal_title,publisher,year,yearly_jn_volume,license,license_ref_n,yearly_publisher_volume
Soft Computing,Springer Nature,2017,505,http://creativecommons.org/licenses/by/4.0,19,175964
Soft Computing,Springer Nature,2016,466,http://creativecommons.org/licenses/by/4.0,15,173019
Soft Computing,Springer Nature,2015,428,http://creativecommons.org/licenses/by/4.0,10,165397
Soft Computing,Springer Nature,2014,349,NA,NA,161462
Soft Computing,Springer Nature,2018,262,http://creativecommons.org/licenses/by/4.0,8,77031
Soft Computing,Springer Nature,2013,234,NA,NA,150563
Geoheritage,Springer Nature,2017,65,http://creativecommons.org/licenses/by/4.0,3,175964
Geoheritage,Springer Nature,2016,42,http://creativecommons.org/licenses/by/4.0,2,173019
Geoheritage,Springer Nature,2014,41,NA,NA,161462
Geoheritage,Springer Nature,2015,32,http://creativecommons.org/licenses/by/4.0,2,165397
Geoheritage,Springer Nature,2018,27,http://creativecommons.org/licenses/by/4.0,1,77031
Geoheritage,Springer Nature,2013,25,NA,NA,150563
Studies in Philosophy and Education,Springer Nature,2013,57,NA,NA,150563
Studies in Philosophy and Education,Springer Nature,2014,56,NA,NA,161462
Studies in Philosophy and Education,Springer Nature,2016,53,http://creativecommons.org/licenses/by/4.0,7,173019
Studies in Philosophy and Education,Springer Nature,2015,49,NA,NA,165397
Studies in Philosophy and Education,Springer Nature,2017,35,http://creativecommons.org/licenses/by/4.0,6,175964
Studies in Philosophy and Education,Springer Nature,2018,17,http://creativecommons.org/licenses/by/4.0,2,77031
Language Policy,Springer Nature,2015,45,http://creativecommons.org/licenses/by/4.0,1,165397
Language Policy,Springer Nature,2013,41,NA,NA,150563
Language Policy,Springer Nature,2014,39,NA,NA,161462
Language Policy,Springer Nature,2016,30,http://creativecommons.org/licenses/by/4.0,5,173019
Language Policy,Springer Nature,2017,27,http://creativecommons.org/licenses/by/4.0,4,175964
Language Policy,Springer Nature,2018,20,http://creativecommons.org/licenses/by/4.0,1,77031
Conservation Genetics Resources,Springer Nature,2014,295,NA,NA,161462
Conservation Genetics Resources,Springer Nature,2017,289,http://creativecommons.org/licenses/by/4.0,6,175964
Conservation Genetics Resources,Springer Nature,2013,262,NA,NA,150563
Conservation Genetics Resources,Springer Nature,2016,150,http://creativecommons.org/licenses/by/4.0,4,173019
Conservation Genetics Resources,Springer Nature,2015,104,NA,NA,165397
Conservation Genetics Resources,Springer Nature,2018,90,http://creativecommons.org/licenses/by/4.0,3,77031
Sports Medicine,Springer Nature,2016,206,http://creativecommons.org/licenses/by/4.0,39,173019
Sports Medicine,Springer Nature,2017,170,http://creativecommons.org/licenses/by/4.0,45,175964
Sports Medicine,Springer Nature,2014,161,NA,NA,161462
Sports Medicine,Springer Nature,2015,155,http://creativecommons.org/licenses/by/4.0,1,165397
Sports Medicine,Springer Nature,2013,123,NA,NA,150563
Sports Medicine,Springer Nature,2018,94,http://creativecommons.org/licenses/by/4.0,19,77031
Journal of Autism and Developmental Disorders,Springer Nature,2017,450,http://creativecommons.org/licenses/by/4.0,66,175964
Journal of Autism and Developmental Disorders,Springer Nature,2015,332,NA,NA,165397
Journal of Autism and Developmental Disorders,Springer Nature,2014,315,NA,NA,161462
Journal of Autism and Developmental Disorders,Springer Nature,2016,298,http://creativecommons.org/licenses/by/4.0,48,173019
Journal of Autism and Developmental Disorders,Springer Nature,2013,275,NA,NA,150563
Journal of Autism and Developmental Disorders,Springer Nature,2018,170,http://creativecommons.org/licenses/by/4.0,29,77031
Experimental Brain Research,Springer Nature,2013,432,NA,NA,150563
Experimental Brain Research,Springer Nature,2014,371,NA,NA,161462
Experimental Brain Research,Springer Nature,2015,346,NA,NA,165397
Experimental Brain Research,Springer Nature,2016,316,http://creativecommons.org/licenses/by/4.0,43,173019
Experimental Brain Research,Springer Nature,2017,298,http://creativecommons.org/licenses/by/4.0,46,175964
Experimental Brain Research,Springer Nature,2018,133,http://creativecommons.org/licenses/by/4.0,21,77031
Morphology,Springer Nature,2015,23,NA,NA,165397
Morphology,Springer Nature,2014,23,NA,NA,161462
Morphology,Springer Nature,2016,22,http://creativecommons.org/licenses/by/4.0,1,173019
Morphology,Springer Nature,2013,20,NA,NA,150563
Morphology,Springer Nature,2017,18,http://creativecommons.org/licenses/by/4.0,1,175964
Morphology,Springer Nature,2018,7,http://creativecommons.org/licenses/by/4.0,1,77031
The International Sports Law Journal,Springer Nature,2013,36,NA,NA,150563
The International Sports Law Journal,Springer Nature,2014,25,NA,NA,161462
The International Sports Law Journal,Springer Nature,2015,20,NA,NA,165397
The International Sports Law Journal,Springer Nature,2016,16,http://creativecommons.org/licenses/by/4.0,3,173019
The International Sports Law Journal,Springer Nature,2017,14,http://creativecommons.org/licenses/by/4.0,4,175964
The International Sports Law Journal,Springer Nature,2018,12,http://creativecommons.org/licenses/by/4.0,3,77031
International Journal of Clinical Pharmacy,Springer Nature,2015,179,http://creativecommons.org/licenses/by/4.0,3,165397
International Journal of Clinical Pharmacy,Springer Nature,2016,174,http://creativecommons.org/licenses/by/4.0,14,173019
International Journal of Clinical Pharmacy,Springer Nature,2013,169,NA,NA,150563
International Journal of Clinical Pharmacy,Springer Nature,2017,160,http://creativecommons.org/licenses/by/4.0,20,175964
International Journal of Clinical Pharmacy,Springer Nature,2014,145,NA,NA,161462
International Journal of Clinical Pharmacy,Springer Nature,2018,74,http://creativecommons.org/licenses/by/4.0,10,77031
Small Business Economics,Springer Nature,2017,151,http://creativecommons.org/licenses/by/4.0,36,175964
Small Business Economics,Springer Nature,2016,120,http://creativecommons.org/licenses/by/4.0,20,173019
Small Business Economics,Springer Nature,2014,89,NA,NA,161462
Small Business Economics,Springer Nature,2018,87,http://creativecommons.org/licenses/by/4.0,29,77031
Small Business Economics,Springer Nature,2015,72,NA,NA,165397
Small Business Economics,Springer Nature,2013,68,NA,NA,150563
European Journal of Ageing,Springer Nature,2013,49,NA,NA,150563
European Journal of Ageing,Springer Nature,2016,46,http://creativecommons.org/licenses/by/4.0,15,173019
European Journal of Ageing,Springer Nature,2017,42,http://creativecommons.org/licenses/by/4.0,8,175964
European Journal of Ageing,Springer Nature,2015,30,NA,NA,165397
European Journal of Ageing,Springer Nature,2018,29,http://creativecommons.org/licenses/by/4.0,7,77031
European Journal of Ageing,Springer Nature,2014,26,NA,NA,161462
Plant and Soil,Springer Nature,2013,435,NA,NA,150563
Plant and Soil,Springer Nature,2015,406,http://creativecommons.org/licenses/by/4.0,1,165397
Plant and Soil,Springer Nature,2016,382,http://creativecommons.org/licenses/by/4.0,44,173019
Plant and Soil,Springer Nature,2017,376,http://creativecommons.org/licenses/by/4.0,35,175964
Plant and Soil,Springer Nature,2014,365,NA,NA,161462
Plant and Soil,Springer Nature,2018,146,http://creativecommons.org/licenses/by/4.0,16,77031
Biology and Fertility of Soils,Springer Nature,2013,125,NA,NA,150563
Biology and Fertility of Soils,Springer Nature,2015,101,NA,NA,165397
Biology and Fertility of Soils,Springer Nature,2014,90,NA,NA,161462
Biology and Fertility of Soils,Springer Nature,2017,89,http://creativecommons.org/licenses/by/4.0,8,175964
Biology and Fertility of Soils,Springer Nature,2016,86,http://creativecommons.org/licenses/by/4.0,5,173019
Biology and Fertility of Soils,Springer Nature,2018,31,http://creativecommons.org/licenses/by/4.0,4,77031
Facies,Springer Nature,2013,36,NA,NA,150563
Facies,Springer Nature,2014,32,NA,NA,161462
Facies,Springer Nature,2017,30,http://creativecommons.org/licenses/by/4.0,3,175964
Facies,Springer Nature,2016,29,http://creativecommons.org/licenses/by/4.0,1,173019
Facies,Springer Nature,2015,29,NA,NA,165397
Facies,Springer Nature,2018,14,http://creativecommons.org/licenses/by/4.0,2,77031
Agroforestry Systems,Springer Nature,2016,162,http://creativecommons.org/licenses/by/4.0,10,173019
Agroforestry Systems,Springer Nature,2017,127,http://creativecommons.org/licenses/by/4.0,7,175964
Agroforestry Systems,Springer Nature,2014,112,NA,NA,161462
Agroforestry Systems,Springer Nature,2015,109,http://creativecommons.org/licenses/by/4.0,3,165397
Agroforestry Systems,Springer Nature,2013,75,NA,NA,150563
Agroforestry Systems,Springer Nature,2018,68,http://creativecommons.org/licenses/by/4.0,1,77031
Polar Biology,Springer Nature,2015,235,http://creativecommons.org/licenses/by/4.0,5,165397
Polar Biology,Springer Nature,2014,192,NA,NA,161462
Polar Biology,Springer Nature,2016,191,http://creativecommons.org/licenses/by/4.0,24,173019
Polar Biology,Springer Nature,2017,174,http://creativecommons.org/licenses/by/4.0,19,175964
Polar Biology,Springer Nature,2013,162,NA,NA,150563
Polar Biology,Springer Nature,2018,101,http://creativecommons.org/licenses/by/4.0,11,77031
Small-scale Forestry,Springer Nature,2016,43,http://creativecommons.org/licenses/by/4.0,3,173019
Small-scale Forestry,Springer Nature,2015,33,NA,NA,165397
Small-scale Forestry,Springer Nature,2013,30,NA,NA,150563
Small-scale Forestry,Springer Nature,2017,26,http://creativecommons.org/licenses/by/4.0,2,175964
Small-scale Forestry,Springer Nature,2014,26,NA,NA,161462
Small-scale Forestry,Springer Nature,2018,14,NA,NA,77031
Environmental Management,Springer Nature,2013,220,NA,NA,150563
Environmental Management,Springer Nature,2015,216,http://creativecommons.org/licenses/by/4.0,1,165397
Environmental Management,Springer Nature,2014,210,NA,NA,161462
Environmental Management,Springer Nature,2017,167,http://creativecommons.org/licenses/by/4.0,23,175964
Environmental Management,Springer Nature,2016,155,http://creativecommons.org/licenses/by/4.0,16,173019
Environmental Management,Springer Nature,2018,84,http://creativecommons.org/licenses/by/4.0,16,77031
Estuaries and Coasts,Springer Nature,2013,172,NA,NA,150563
Estuaries and Coasts,Springer Nature,2014,171,NA,NA,161462
Estuaries and Coasts,Springer Nature,2017,161,http://creativecommons.org/licenses/by/4.0,17,175964
Estuaries and Coasts,Springer Nature,2016,136,http://creativecommons.org/licenses/by/4.0,7,173019
Estuaries and Coasts,Springer Nature,2015,134,http://creativecommons.org/licenses/by/4.0,4,165397
Estuaries and Coasts,Springer Nature,2018,50,http://creativecommons.org/licenses/by/4.0,6,77031
Regional Environmental Change,Springer Nature,2013,189,NA,NA,150563
Regional Environmental Change,Springer Nature,2016,180,http://creativecommons.org/licenses/by/4.0,31,173019
Regional Environmental Change,Springer Nature,2017,178,http://creativecommons.org/licenses/by/4.0,45,175964
Regional Environmental Change,Springer Nature,2014,166,NA,NA,161462
Regional Environmental Change,Springer Nature,2015,164,http://creativecommons.org/licenses/by/4.0,7,165397
Regional Environmental Change,Springer Nature,2018,86,http://creativecommons.org/licenses/by/4.0,28,77031
Biodiversity and Conservation,Springer Nature,2014,241,NA,NA,161462
Biodiversity and Conservation,Springer Nature,2016,238,http://creativecommons.org/licenses/by/4.0,29,173019
Biodiversity and Conservation,Springer Nature,2017,212,http://creativecommons.org/licenses/by/4.0,26,175964
Biodiversity and Conservation,Springer Nature,2013,179,NA,NA,150563
Biodiversity and Conservation,Springer Nature,2015,178,NA,NA,165397
Biodiversity and Conservation,Springer Nature,2018,66,http://creativecommons.org/licenses/by/4.0,5,77031
Organisms Diversity & Evolution,Springer Nature,2015,59,http://creativecommons.org/licenses/by/4.0,1,165397
Organisms Diversity & Evolution,Springer Nature,2016,56,http://creativecommons.org/licenses/by/4.0,5,173019
Organisms Diversity & Evolution,Springer Nature,2013,44,NA,NA,150563
Organisms Diversity & Evolution,Springer Nature,2017,39,http://creativecommons.org/licenses/by/4.0,6,175964
Organisms Diversity & Evolution,Springer Nature,2014,34,NA,NA,161462
Organisms Diversity & Evolution,Springer Nature,2018,13,http://creativecommons.org/licenses/by/4.0,3,77031
Psychonomic Bulletin & Review,Springer Nature,2016,219,http://creativecommons.org/licenses/by/4.0,46,173019
Psychonomic Bulletin & Review,Springer Nature,2017,213,http://creativecommons.org/licenses/by/4.0,36,175964
Psychonomic Bulletin & Review,Springer Nature,2014,212,NA,NA,161462
Psychonomic Bulletin & Review,Springer Nature,2013,199,NA,NA,150563
Psychonomic Bulletin & Review,Springer Nature,2015,195,http://creativecommons.org/licenses/by/4.0,6,165397
Psychonomic Bulletin & Review,Springer Nature,2018,69,http://creativecommons.org/licenses/by/4.0,10,77031
European Journal of Nutrition,Springer Nature,2015,311,http://creativecommons.org/licenses/by/4.0,24,165397
European Journal of Nutrition,Springer Nature,2017,229,http://creativecommons.org/licenses/by/4.0,51,175964
European Journal of Nutrition,Springer Nature,2016,222,http://creativecommons.org/licenses/by/4.0,42,173019
European Journal of Nutrition,Springer Nature,2014,177,NA,NA,161462
European Journal of Nutrition,Springer Nature,2013,155,NA,NA,150563
European Journal of Nutrition,Springer Nature,2018,127,http://creativecommons.org/licenses/by/4.0,34,77031
Hydrobiologia,Springer Nature,2016,462,http://creativecommons.org/licenses/by/4.0,53,173019
Hydrobiologia,Springer Nature,2015,452,http://creativecommons.org/licenses/by/4.0,7,165397
Hydrobiologia,Springer Nature,2017,397,http://creativecommons.org/licenses/by/4.0,33,175964
Hydrobiologia,Springer Nature,2014,365,NA,NA,161462
Hydrobiologia,Springer Nature,2013,360,NA,NA,150563
Hydrobiologia,Springer Nature,2018,173,http://creativecommons.org/licenses/by/4.0,23,77031
Marine Biology,Springer Nature,2016,284,http://creativecommons.org/licenses/by/4.0,23,173019
Marine Biology,Springer Nature,2014,233,NA,NA,161462
Marine Biology,Springer Nature,2017,222,http://creativecommons.org/licenses/by-nc/4.0,1,175964
Marine Biology,Springer Nature,2017,222,http://creativecommons.org/licenses/by/4.0,18,175964
Marine Biology,Springer Nature,2013,219,NA,NA,150563
Marine Biology,Springer Nature,2015,168,NA,NA,165397
Marine Biology,Springer Nature,2018,83,http://creativecommons.org/licenses/by/4.0,8,77031
The Computer Games Journal,Springer Nature,2014,22,NA,NA,161462
The Computer Games Journal,Springer Nature,2013,21,NA,NA,150563
The Computer Games Journal,Springer Nature,2017,18,http://creativecommons.org/licenses/by/4.0,3,175964
The Computer Games Journal,Springer Nature,2015,16,NA,NA,165397
The Computer Games Journal,Springer Nature,2016,14,http://creativecommons.org/licenses/by/4.0,3,173019
The Computer Games Journal,Springer Nature,2018,12,http://creativecommons.org/licenses/by/4.0,4,77031
Annals of Behavioral Medicine,Oxford University Press (OUP),2013,140,NA,NA,34651
Annals of Behavioral Medicine,Oxford University Press (OUP),2016,105,http://creativecommons.org/licenses/by/4.0,15,41935
Annals of Behavioral Medicine,Oxford University Press (OUP),2018,97,http://creativecommons.org/licenses/by-nc/4.0,2,20883
Annals of Behavioral Medicine,Oxford University Press (OUP),2014,94,NA,NA,35861
Annals of Behavioral Medicine,Oxford University Press (OUP),2015,87,NA,NA,38466
Annals of Behavioral Medicine,Oxford University Press (OUP),2017,58,http://creativecommons.org/licenses/by/4.0,3,47306
Journal of Ocean Engineering and Marine Energy,Springer Nature,2016,34,http://creativecommons.org/licenses/by/4.0,6,173019
Journal of Ocean Engineering and Marine Energy,Springer Nature,2017,32,http://creativecommons.org/licenses/by/4.0,6,175964
Journal of Ocean Engineering and Marine Energy,Springer Nature,2015,27,NA,NA,165397
Journal of Ocean Engineering and Marine Energy,Springer Nature,2014,12,NA,NA,161462
Journal of Ocean Engineering and Marine Energy,Springer Nature,2018,9,http://creativecommons.org/licenses/by/4.0,3,77031
Sports Engineering,Springer Nature,2013,40,NA,NA,150563
Sports Engineering,Springer Nature,2017,39,http://creativecommons.org/licenses/by/4.0,8,175964
Sports Engineering,Springer Nature,2016,31,http://creativecommons.org/licenses/by/4.0,4,173019
Sports Engineering,Springer Nature,2015,24,NA,NA,165397
Sports Engineering,Springer Nature,2014,19,NA,NA,161462
Sports Engineering,Springer Nature,2018,10,http://creativecommons.org/licenses/by/4.0,2,77031
Criminal Law Forum,Springer Nature,2017,42,http://creativecommons.org/licenses/by/4.0,8,175964
Criminal Law Forum,Springer Nature,2016,30,http://creativecommons.org/licenses/by/4.0,4,173019
Criminal Law Forum,Springer Nature,2015,27,NA,NA,165397
Criminal Law Forum,Springer Nature,2013,27,NA,NA,150563
Criminal Law Forum,Springer Nature,2014,24,NA,NA,161462
Criminal Law Forum,Springer Nature,2018,3,NA,NA,77031
Higher Education,Springer Nature,2014,141,NA,NA,161462
Higher Education,Springer Nature,2016,133,http://creativecommons.org/licenses/by/4.0,17,173019
Higher Education,Springer Nature,2017,117,http://creativecommons.org/licenses/by/4.0,23,175964
Higher Education,Springer Nature,2015,117,http://creativecommons.org/licenses/by/4.0,5,165397
Higher Education,Springer Nature,2013,106,NA,NA,150563
Higher Education,Springer Nature,2018,55,http://creativecommons.org/licenses/by/4.0,12,77031
Chromosoma,Springer Nature,2015,66,http://creativecommons.org/licenses/by/4.0,6,165397
Chromosoma,Springer Nature,2016,55,http://creativecommons.org/licenses/by/4.0,12,173019
Chromosoma,Springer Nature,2013,55,NA,NA,150563
Chromosoma,Springer Nature,2014,54,NA,NA,161462
Chromosoma,Springer Nature,2017,34,http://creativecommons.org/licenses/by/4.0,5,175964
Chromosoma,Springer Nature,2018,15,http://creativecommons.org/licenses/by/4.0,3,77031
Computational Economics,Springer Nature,2017,141,http://creativecommons.org/licenses/by/4.0,11,175964
Computational Economics,Springer Nature,2016,88,http://creativecommons.org/licenses/by/4.0,6,173019
Computational Economics,Springer Nature,2015,70,http://creativecommons.org/licenses/by/4.0,1,165397
Computational Economics,Springer Nature,2014,62,NA,NA,161462
Computational Economics,Springer Nature,2013,61,NA,NA,150563
Computational Economics,Springer Nature,2018,34,http://creativecommons.org/licenses/by/4.0,4,77031
Scientometrics,Springer Nature,2017,413,http://creativecommons.org/licenses/by/4.0,53,175964
Scientometrics,Springer Nature,2016,385,http://creativecommons.org/licenses/by/4.0,27,173019
Scientometrics,Springer Nature,2015,298,NA,NA,165397
Scientometrics,Springer Nature,2014,294,NA,NA,161462
Scientometrics,Springer Nature,2013,290,NA,NA,150563
Scientometrics,Springer Nature,2018,154,http://creativecommons.org/licenses/by/4.0,21,77031
Current Genetics,Springer Nature,2017,126,http://creativecommons.org/licenses/by/4.0,18,175964
Current Genetics,Springer Nature,2016,121,http://creativecommons.org/licenses/by/4.0,13,173019
Current Genetics,Springer Nature,2015,87,http://creativecommons.org/licenses/by/4.0,3,165397
Current Genetics,Springer Nature,2014,47,NA,NA,161462
Current Genetics,Springer Nature,2018,46,http://creativecommons.org/licenses/by/4.0,7,77031
Current Genetics,Springer Nature,2013,33,NA,NA,150563
JOM,Springer Nature,2015,499,NA,NA,165397
JOM,Springer Nature,2017,474,http://creativecommons.org/licenses/by/4.0,24,175964
JOM,Springer Nature,2016,464,http://creativecommons.org/licenses/by/4.0,13,173019
JOM,Springer Nature,2014,419,NA,NA,161462
JOM,Springer Nature,2013,297,NA,NA,150563
JOM,Springer Nature,2018,226,http://creativecommons.org/licenses/by/4.0,8,77031
Empirical Economics,Springer Nature,2017,204,http://creativecommons.org/licenses/by/4.0,14,175964
Empirical Economics,Springer Nature,2016,151,http://creativecommons.org/licenses/by/4.0,15,173019
Empirical Economics,Springer Nature,2015,144,http://creativecommons.org/licenses/by/4.0,4,165397
Empirical Economics,Springer Nature,2013,112,NA,NA,150563
Empirical Economics,Springer Nature,2014,110,NA,NA,161462
Empirical Economics,Springer Nature,2018,50,http://creativecommons.org/licenses/by/4.0,5,77031
Software & Systems Modeling,Springer Nature,2013,87,NA,NA,150563
Software & Systems Modeling,Springer Nature,2017,74,http://creativecommons.org/licenses/by/4.0,15,175964
Software & Systems Modeling,Springer Nature,2016,62,http://creativecommons.org/licenses/by/4.0,13,173019
Software & Systems Modeling,Springer Nature,2015,62,http://creativecommons.org/licenses/by/4.0,1,165397
Software & Systems Modeling,Springer Nature,2014,53,http://creativecommons.org/licenses/by/4.0,2,161462
Software & Systems Modeling,Springer Nature,2018,32,http://creativecommons.org/licenses/by/4.0,5,77031
Journal of Materials Engineering and Performance,Springer Nature,2016,630,http://creativecommons.org/licenses/by/4.0,41,173019
Journal of Materials Engineering and Performance,Springer Nature,2017,609,http://creativecommons.org/licenses/by/4.0,19,175964
Journal of Materials Engineering and Performance,Springer Nature,2014,513,NA,NA,161462
Journal of Materials Engineering and Performance,Springer Nature,2015,488,NA,NA,165397
Journal of Materials Engineering and Performance,Springer Nature,2013,383,NA,NA,150563
