period,journal_title,country,hybrid_type,oapc_n_year
2013,Accident Analysis & Prevention,GBR,Open APC (Hybrid),1
2013,ACS Applied Materials & Interfaces,AUT,Open APC (Hybrid),2
2013,ACS Chemical Biology,AUT,Open APC (Hybrid),3
2013,ACS Chemical Neuroscience,AUT,Open APC (Hybrid),1
2013,ACS Macro Letters,AUT,Open APC (Hybrid),1
2013,ACS Nano,AUT,Open APC (Hybrid),6
2013,Acta Histochemica,AUT,Open APC (Hybrid),1
2013,Acta Materialia,AUT,Open APC (Hybrid),2
2013,Acta Neuropathologica,AUT,Open APC (Hybrid),1
2013,Addiction,GBR,Open APC (Hybrid),1
2013,Advanced Functional Materials,GBR,Open APC (Hybrid),1
2013,Advanced Synthesis & Catalysis,AUT,Open APC (Hybrid),1
2013,Advances in Colloid and Interface Science,GBR,Open APC (Hybrid),1
2013,Advances in Engineering Software,AUT,Open APC (Hybrid),1
2013,Advances in Mathematics,AUT,Open APC (Hybrid),1
2013,Aerobiologia,AUT,Open APC (Hybrid),1
2013,AGE,AUT,Open APC (Hybrid),1
2013,Agricultural and Forest Entomology,AUT,Open APC (Hybrid),1
2013,Agricultural and Forest Meteorology,AUT,Open APC (Hybrid),1
2013,AIChE Journal,CAN,Open APC (Hybrid),1
2013,Allergy,AUT,Open APC (Hybrid),1
2013,American Journal of Botany,AUT,Open APC (Hybrid),1
2013,Analytical and Bioanalytical Chemistry,AUT,Open APC (Hybrid),1
2013,Analytical and Bioanalytical Chemistry,USA,Open APC (Hybrid),1
2013,Analytical Chemistry,AUT,Open APC (Hybrid),5
2013,Angewandte Chemie,AUT,Open APC (Hybrid),4
2013,Angewandte Chemie International Edition,AUT,Open APC (Hybrid),2
2013,Angewandte Chemie International Edition,GBR,Open APC (Hybrid),2
2013,Animal Behaviour,AUT,Open APC (Hybrid),2
2013,Animal Reproduction Science,AUT,Open APC (Hybrid),1
2013,Annals of Human Genetics,GBR,Open APC (Hybrid),1
2013,Annals of Neurology,AUT,Open APC (Hybrid),1
2013,Annals of Physics,AUT,Open APC (Hybrid),1
2013,Annals of Physics,GBR,Open APC (Hybrid),1
2013,Annals of Pure and Applied Logic,AUT,Open APC (Hybrid),1
2013,Antiviral Research,AUT,Open APC (Hybrid),1
2013,Antonie van Leeuwenhoek,AUT,Open APC (Hybrid),1
2013,Applied Acoustics,GBR,Open APC (Hybrid),1
2013,Applied Geography,AUT,Open APC (Hybrid),1
2013,Applied Mathematical Modelling,GBR,Open APC (Hybrid),1
2013,Applied Physics Letters,AUT,Open APC (Hybrid),5
2013,Applied Physics Letters,GBR,Open APC (Hybrid),1
2013,Applied Radiation and Isotopes,AUT,Open APC (Hybrid),1
2013,Aquatic Sciences,AUT,Open APC (Hybrid),1
2013,Archives of Biochemistry and Biophysics,AUT,Open APC (Hybrid),5
2013,Archives of Dermatological Research,AUT,Open APC (Hybrid),1
2013,Archives of Microbiology,AUT,Open APC (Hybrid),1
2013,Arthropod Structure & Development,AUT,Open APC (Hybrid),1
2013,Arthropod-Plant Interactions,AUT,Open APC (Hybrid),1
2013,Atherosclerosis,AUT,Open APC (Hybrid),1
2013,Autism Research,GBR,Open APC (Hybrid),1
2013,Behavioral Ecology and Sociobiology,AUT,Open APC (Hybrid),2
2013,Biochemical and Biophysical Research Communications,AUT,Open APC (Hybrid),1
2013,Biochemical Journal,AUT,Open APC (Hybrid),2
2013,Biochemical Pharmacology,AUT,Open APC (Hybrid),1
2013,Biochemical Society Transactions,AUT,Open APC (Hybrid),1
2013,Biochemistry,AUT,Open APC (Hybrid),5
2013,Biochimica et Biophysica Acta (BBA) - Biomembranes,AUT,Open APC (Hybrid),5
2013,Biochimica et Biophysica Acta (BBA) - General Subjects,AUT,Open APC (Hybrid),1
2013,Biochimica et Biophysica Acta (BBA) - Molecular and Cell Biology of Lipids,AUT,Open APC (Hybrid),9
2013,Biochimica et Biophysica Acta (BBA) - Molecular Cell Research,AUT,Open APC (Hybrid),2
2013,Biochimica et Biophysica Acta (BBA) - Proteins and Proteomics,AUT,Open APC (Hybrid),1
2013,Biochimica et Biophysica Acta (BBA) - Proteins and Proteomics,GBR,Open APC (Hybrid),1
2013,Biochimie,AUT,Open APC (Hybrid),5
2013,Bioconjugate Chemistry,GBR,Open APC (Hybrid),1
2013,Biological Cybernetics,AUT,Open APC (Hybrid),1
2013,Biological Journal of the Linnean Society,AUT,Open APC (Hybrid),1
2013,Biological Psychology,AUT,Open APC (Hybrid),2
2013,Biology and Fertility of Soils,AUT,Open APC (Hybrid),2
2013,Biology Letters,GBR,Open APC (Hybrid),1
2013,Biomass and Bioenergy,AUT,Open APC (Hybrid),1
2013,Biomolecular NMR Assignments,AUT,Open APC (Hybrid),3
2013,Bioorganic & Medicinal Chemistry,AUT,Open APC (Hybrid),1
2013,Biophysical Journal,AUT,Open APC (Hybrid),1
2013,Biopolymers,AUT,Open APC (Hybrid),1
2013,Bioprocess and Biosystems Engineering,AUT,Open APC (Hybrid),1
2013,Biotechnology Advances,AUT,Open APC (Hybrid),1
2013,Biotechnology Advances,GBR,Open APC (Hybrid),1
2013,Biotechnology and Bioengineering,AUT,Open APC (Hybrid),1
2013,Biotechnology Journal,AUT,Open APC (Hybrid),3
2013,Biotechnology Letters,AUT,Open APC (Hybrid),1
2013,Biotechnology Progress,AUT,Open APC (Hybrid),1
2013,Bone,AUT,Open APC (Hybrid),2
2013,Brain Research,AUT,Open APC (Hybrid),1
2013,Breast Cancer Research and Treatment,CAN,Open APC (Hybrid),1
2013,British Journal of Health Psychology,GBR,Open APC (Hybrid),1
2013,British Journal of Pharmacology,AUT,Open APC (Hybrid),3
2013,Calcified Tissue International,AUT,Open APC (Hybrid),1
2013,Cancer Cell,AUT,Open APC (Hybrid),2
2013,Carbohydrate Research,AUT,Open APC (Hybrid),1
2013,Carbonates and Evaporites,AUT,Open APC (Hybrid),1
2013,Catalysis Letters,AUT,Open APC (Hybrid),2
2013,Cell,AUT,Open APC (Hybrid),2
2013,Cell,GBR,Open APC (Hybrid),2
2013,Cell and Tissue Research,AUT,Open APC (Hybrid),1
2013,Cell Metabolism,AUT,Open APC (Hybrid),2
2013,Cell Stem Cell,AUT,Open APC (Hybrid),1
2013,Cellular and Molecular Life Sciences,AUT,Open APC (Hybrid),2
2013,"Chaos, Solitons & Fractals",AUT,Open APC (Hybrid),1
2013,ChemBioChem,AUT,Open APC (Hybrid),1
2013,ChemCatChem,AUT,Open APC (Hybrid),1
2013,Chemical Communications,GBR,Open APC (Hybrid),1
2013,Chemical Physics,AUT,Open APC (Hybrid),1
2013,Chemical Physics Letters,AUT,Open APC (Hybrid),2
2013,Chemical Science,GBR,Open APC (Hybrid),3
2013,Chemical Society Reviews,AUT,Open APC (Hybrid),1
2013,Chemical Society Reviews,GBR,Open APC (Hybrid),1
2013,Chemistry - A European Journal,AUT,Open APC (Hybrid),3
2013,Chemistry & Biodiversity,AUT,Open APC (Hybrid),1
2013,Chemistry of Materials,AUT,Open APC (Hybrid),3
2013,Chemistry of Materials,GBR,Open APC (Hybrid),2
2013,ChemPhysChem,AUT,Open APC (Hybrid),2
2013,ChemPlusChem,AUT,Open APC (Hybrid),1
2013,ChemSusChem,AUT,Open APC (Hybrid),1
2013,"Child: Care, Health and Development",CAN,Open APC (Hybrid),1
2013,Chromosoma,AUT,Open APC (Hybrid),1
2013,"CLEAN - Soil, Air, Water",CAN,Open APC (Hybrid),2
2013,Climatic Change,GBR,Open APC (Hybrid),1
2013,Clinica Chimica Acta,AUT,Open APC (Hybrid),1
2013,Clinical Neurology and Neurosurgery,AUT,Open APC (Hybrid),1
2013,Clinical Neurophysiology,AUT,Open APC (Hybrid),1
2013,Coastal Engineering,GBR,Open APC (Hybrid),1
2013,Composite Structures,GBR,Open APC (Hybrid),1
2013,Computational and Theoretical Chemistry,AUT,Open APC (Hybrid),1
2013,Computational Geometry,AUT,Open APC (Hybrid),3
2013,Computational Materials Science,AUT,Open APC (Hybrid),1
2013,Computer Aided Geometric Design,AUT,Open APC (Hybrid),1
2013,Computer Communications,AUT,Open APC (Hybrid),1
2013,"Computer Languages, Systems & Structures",AUT,Open APC (Hybrid),1
2013,Computer Methods and Programs in Biomedicine,AUT,Open APC (Hybrid),3
2013,Computer Methods in Applied Mechanics and Engineering,AUT,Open APC (Hybrid),2
2013,Computer Physics Communications,AUT,Open APC (Hybrid),1
2013,Computer Vision and Image Understanding,AUT,Open APC (Hybrid),1
2013,Computers & Fluids,AUT,Open APC (Hybrid),1
2013,Computers & Geosciences,AUT,Open APC (Hybrid),1
2013,Computers & Graphics,AUT,Open APC (Hybrid),1
2013,Computers & Operations Research,AUT,Open APC (Hybrid),4
2013,"Computers, Environment and Urban Systems",GBR,Open APC (Hybrid),1
2013,Contributions to Mineralogy and Petrology,AUT,Open APC (Hybrid),1
2013,Coordination Chemistry Reviews,AUT,Open APC (Hybrid),1
2013,Cretaceous Research,AUT,Open APC (Hybrid),2
2013,Crystal Growth & Design,AUT,Open APC (Hybrid),4
2013,CrystEngComm,GBR,Open APC (Hybrid),1
2013,Current Biology,AUT,Open APC (Hybrid),2
2013,Current Biology,GBR,Open APC (Hybrid),1
