dois,license,journal_title,publisher,issued,issn_type.x,issn,year_flipped,issn_type.y
10.1186/s10397-017-1011-7,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2017,issn_2,1613-2084,2017,issn
10.1186/s10397-017-1016-2,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2017,issn_2,1613-2084,2017,issn
10.1186/s10397-017-1018-0,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2017,issn_2,1613-2084,2017,issn
10.1186/s10397-017-1017-1,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2017,issn_2,1613-2084,2017,issn
10.1186/s10397-017-1020-6,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2017,issn_2,1613-2084,2017,issn
10.1186/s10397-017-1022-4,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2017,issn_2,1613-2084,2017,issn
10.1186/s10397-017-1024-2,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2017,issn_2,1613-2084,2017,issn
10.1186/s10397-017-1025-1,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2017,issn_2,1613-2084,2017,issn
10.1186/s10397-017-1028-y,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2017,issn_2,1613-2084,2017,issn
10.1186/s10397-017-1030-4,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2017,issn_2,1613-2084,2017,issn
10.1186/s10397-017-1033-1,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2017,issn_2,1613-2084,2017,issn
10.1186/s10397-017-1031-3,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2017,issn_2,1613-2084,2017,issn
10.1186/s10397-017-1035-z,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2018,issn_2,1613-2084,2017,issn
10.1186/s10397-018-1036-6,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2018,issn_2,1613-2084,2017,issn
10.1186/s10397-017-1032-2,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2018,issn_2,1613-2084,2017,issn
10.1186/s10397-017-1034-0,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2018,issn_2,1613-2084,2017,issn
10.1186/s10397-018-1038-4,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2018,issn_2,1613-2084,2017,issn
10.1186/s10397-018-1037-5,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2018,issn_2,1613-2084,2017,issn
10.1186/s10397-017-1009-1,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2017,issn_2,1613-2084,2017,issn
10.1186/s10397-017-1029-x,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2017,issn_2,1613-2084,2017,issn
10.1186/s10397-018-1043-7,https://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2018,issn_2,1613-2084,2017,issn
10.1186/s10397-018-1044-6,https://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2018,issn_2,1613-2084,2017,issn
10.1186/s10397-019-1060-1,https://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2019,issn_2,1613-2084,2017,issn
10.1186/s10397-018-1053-5,https://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2018,issn_2,1613-2084,2017,issn
10.1186/s10397-019-1055-y,https://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2019,issn_2,1613-2084,2017,issn
10.1186/s10397-018-1054-4,https://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2019,issn_2,1613-2084,2017,issn
10.1186/s10397-019-1056-x,https://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2019,issn_2,1613-2084,2017,issn
10.1186/s10397-019-1058-8,https://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2019,issn_2,1613-2084,2017,issn
10.1186/s10397-018-1051-7,https://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2018,issn_2,1613-2084,2017,issn
10.1186/s10397-019-1057-9,https://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2019,issn_2,1613-2084,2017,issn
10.1186/s10397-018-1045-5,https://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2018,issn_2,1613-2084,2017,issn
10.1186/s10397-018-1046-4,https://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2018,issn_2,1613-2084,2017,issn
10.1186/s10397-018-1047-3,https://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2018,issn_2,1613-2084,2017,issn
10.1186/s10397-018-1048-2,https://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2018,issn_2,1613-2084,2017,issn
10.1186/s10397-018-1050-8,https://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2018,issn_2,1613-2084,2017,issn
10.1186/s10397-018-1049-1,https://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2018,issn_2,1613-2084,2017,issn
10.1186/s10397-018-1052-6,https://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2018,issn_2,1613-2084,2017,issn
10.1186/s10397-019-1061-0,https://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2019,issn_2,1613-2084,2017,issn
10.1186/s10397-019-1062-z,https://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2019,issn_2,1613-2084,2017,issn
10.1186/s10397-019-1063-y,https://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2019,issn_2,1613-2084,2017,issn
10.1186/s10397-019-1064-x,https://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2019,issn_2,1613-2084,2017,issn
10.1186/s10397-019-1065-9,https://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2019,issn_2,1613-2084,2017,issn
10.1186/s10397-019-1067-7,https://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2019,issn_2,1613-2084,2017,issn
10.1186/s10397-019-1066-8,https://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2019,issn_2,1613-2084,2017,issn
10.1186/s10397-018-1039-3,https://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2018,issn_2,1613-2084,2017,issn
10.1186/s10397-018-1042-8,https://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2018,issn_2,1613-2084,2017,issn
10.1186/s10397-019-1059-7,https://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2019,issn_2,1613-2084,2017,issn
10.1186/s10397-018-1041-9,https://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2018,issn_2,1613-2084,2017,issn
10.1186/s10397-020-01068-1,https://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2020,issn_2,1613-2084,2017,issn
10.1186/s10152-017-0495-x,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2017,issn_1,1438-387X,2016,issn
10.1186/s10152-017-0492-0,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2017,issn_1,1438-387X,2016,issn
10.1186/s10152-017-0498-7,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2017,issn_1,1438-387X,2016,issn
10.1186/s10152-017-0501-3,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2017,issn_1,1438-387X,2016,issn
10.1186/s10152-016-0477-4,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2016,issn_1,1438-387X,2016,issn
10.1186/s10152-017-0502-2,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2017,issn_1,1438-387X,2016,issn
10.1186/s10152-017-0500-4,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2017,issn_1,1438-387X,2016,issn
10.1186/s10152-016-0474-7,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2016,issn_1,1438-387X,2016,issn
10.1186/s10152-017-0483-1,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2017,issn_1,1438-387X,2016,issn
10.1186/s10152-016-0464-9,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2016,issn_1,1438-387X,2016,issn
10.1186/s10152-016-0465-8,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2016,issn_1,1438-387X,2016,issn
10.1186/s10152-016-0473-8,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2016,issn_1,1438-387X,2016,issn
10.1186/s10152-016-0481-8,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2016,issn_1,1438-387X,2016,issn
10.1186/s10152-016-0470-y,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2016,issn_1,1438-387X,2016,issn
10.1186/s10152-016-0468-5,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2016,issn_1,1438-387X,2016,issn
10.1186/s10152-016-0469-4,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2016,issn_1,1438-387X,2016,issn
10.1186/s10152-016-0472-9,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2016,issn_1,1438-387X,2016,issn
10.1186/s10152-016-0476-5,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2016,issn_1,1438-387X,2016,issn
10.1186/s10152-016-0478-3,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2016,issn_1,1438-387X,2016,issn
10.1186/s10152-016-0479-2,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2016,issn_1,1438-387X,2016,issn
10.1186/s10152-016-0480-9,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2016,issn_1,1438-387X,2016,issn
10.1186/s10152-016-0475-6,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2016,issn_1,1438-387X,2016,issn
10.1186/s10152-017-0482-2,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2017,issn_1,1438-387X,2016,issn
10.1186/s10152-017-0484-0,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2017,issn_1,1438-387X,2016,issn
10.1186/s10152-017-0486-y,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2017,issn_1,1438-387X,2016,issn
10.1186/s10152-017-0487-x,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2017,issn_1,1438-387X,2016,issn
10.1186/s10152-017-0488-9,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2017,issn_1,1438-387X,2016,issn
10.1186/s10152-017-0489-8,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2017,issn_1,1438-387X,2016,issn
10.1186/s10152-017-0490-2,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2017,issn_1,1438-387X,2016,issn
10.1186/s10152-017-0491-1,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2017,issn_1,1438-387X,2016,issn
10.1186/s10152-017-0493-z,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2017,issn_1,1438-387X,2016,issn
10.1186/s10152-017-0496-9,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2017,issn_1,1438-387X,2016,issn
10.1186/s10152-017-0497-8,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2017,issn_1,1438-387X,2016,issn
10.1186/s10152-017-0499-6,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2017,issn_1,1438-387X,2016,issn
10.1186/s10152-017-0504-0,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2018,issn_1,1438-387X,2016,issn
10.1186/s10152-017-0503-1,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2018,issn_1,1438-387X,2016,issn
10.1186/s10152-018-0505-7,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2018,issn_1,1438-387X,2016,issn
10.1186/s10152-016-0471-x,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2016,issn_1,1438-387X,2016,issn
10.1186/s10152-017-0494-y,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2017,issn_1,1438-387X,2016,issn
10.1186/s10152-017-0485-z,http://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2017,issn_1,1438-387X,2016,issn
10.1186/s10152-018-0510-x,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2018,issn_1,1438-387X,2016,issn
10.1186/s10152-018-0508-4,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2018,issn_1,1438-387X,2016,issn
10.1186/s10152-018-0514-6,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2018,issn_1,1438-387X,2016,issn
10.1186/s10152-018-0512-8,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2018,issn_1,1438-387X,2016,issn
10.1186/s10152-018-0515-5,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2018,issn_1,1438-387X,2016,issn
10.1186/s10152-019-0523-0,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2019,issn_1,1438-387X,2016,issn
10.1186/s10152-019-0525-y,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2019,issn_1,1438-387X,2016,issn
10.1186/s10152-018-0520-8,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2018,issn_1,1438-387X,2016,issn
10.1186/s10152-019-0533-y,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2020,issn_1,1438-387X,2016,issn
10.1186/s10152-019-0522-1,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2019,issn_1,1438-387X,2016,issn
10.1186/s10152-020-0534-x,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2020,issn_1,1438-387X,2016,issn
10.1186/s10152-020-0535-9,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2020,issn_1,1438-387X,2016,issn
10.1186/s10152-020-0536-8,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2020,issn_1,1438-387X,2016,issn
10.1186/s10152-020-00537-6,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2020,issn_1,1438-387X,2016,issn
10.1186/s10152-018-0513-7,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2018,issn_1,1438-387X,2016,issn
10.1186/s10152-018-0516-4,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2018,issn_1,1438-387X,2016,issn
10.1186/s10152-018-0517-3,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2018,issn_1,1438-387X,2016,issn
10.1186/s10152-018-0519-1,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2018,issn_1,1438-387X,2016,issn
10.1186/s10152-018-0518-2,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2018,issn_1,1438-387X,2016,issn
10.1186/s10152-018-0521-7,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2018,issn_1,1438-387X,2016,issn
10.1186/s10152-019-0526-x,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2019,issn_1,1438-387X,2016,issn
10.1186/s10152-019-0529-7,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2019,issn_1,1438-387X,2016,issn
10.1186/s10152-019-0530-1,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2019,issn_1,1438-387X,2016,issn
10.1186/s10152-019-0527-9,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2019,issn_1,1438-387X,2016,issn
10.1186/s10152-019-0528-8,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2019,issn_1,1438-387X,2016,issn
10.1186/s10152-019-0531-0,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2019,issn_1,1438-387X,2016,issn
10.1186/s10152-019-0532-z,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2019,issn_1,1438-387X,2016,issn
10.1186/s10152-018-0506-6,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2018,issn_1,1438-387X,2016,issn
10.1186/s10152-018-0507-5,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2018,issn_1,1438-387X,2016,issn
10.1186/s10152-018-0509-3,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2018,issn_1,1438-387X,2016,issn
10.1186/s10152-018-0511-9,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2018,issn_1,1438-387X,2016,issn
10.1186/s10152-019-0524-z,https://creativecommons.org/licenses/by/4.0,Helgoland Marine Research,Springer Nature,2019,issn_1,1438-387X,2016,issn
10.1177/1010428320914475,https://creativecommons.org/licenses/by-nc/4.0/,Tumor Biology,Springer Nature,2020,issn_1,1010-4283,2017,issn
10.1007/bf03183042,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2019,issn_1,1869-4179,1998,issn
10.1007/s13147-018-0540-5,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2018,issn_1,1869-4179,1998,issn
10.1007/s13147-018-0542-3,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2018,issn_1,1869-4179,1998,issn
10.1007/s13147-018-0544-1,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2018,issn_1,1869-4179,1998,issn
10.1007/s13147-018-0546-z,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2018,issn_1,1869-4179,1998,issn
10.1007/s13147-018-0538-z,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2018,issn_1,1869-4179,1998,issn
10.1007/s13147-018-0543-2,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2018,issn_1,1869-4179,1998,issn
10.1007/s13147-018-0558-8,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2018,issn_1,1869-4179,1998,issn
10.1007/s13147-016-0421-8,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2016,issn_1,1869-4179,1998,issn
10.1007/s13147-018-0528-1,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2018,issn_1,1869-4179,1998,issn
10.1007/s13147-016-0444-1,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2018,issn_1,1869-4179,1998,issn
10.1007/s13147-017-0479-y,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2018,issn_1,1869-4179,1998,issn
10.1007/s13147-017-0513-0,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2018,issn_1,1869-4179,1998,issn
10.1007/s13147-014-0278-7,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2014,issn_1,1869-4179,1998,issn
10.1007/s13147-013-0240-0,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2013,issn_1,1869-4179,1998,issn
10.1007/s13147-013-0256-5,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2013,issn_1,1869-4179,1998,issn
10.1007/s13147-015-0369-0,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2015,issn_1,1869-4179,1998,issn
10.1007/s13147-016-0427-2,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2016,issn_1,1869-4179,1998,issn
10.1007/s13147-014-0274-y,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2014,issn_1,1869-4179,1998,issn
10.1007/s13147-014-0310-y,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2015,issn_1,1869-4179,1998,issn
10.1007/s13147-015-0370-7,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2015,issn_1,1869-4179,1998,issn
10.1007/s13147-018-0526-3,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2018,issn_1,1869-4179,1998,issn
10.1007/s13147-013-0255-6,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2013,issn_1,1869-4179,1998,issn
10.1007/s13147-018-0557-9,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2018,issn_1,1869-4179,1998,issn
10.1007/s13147-018-0534-3,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2018,issn_1,1869-4179,1998,issn
10.1007/s13147-014-0322-7,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2015,issn_1,1869-4179,1998,issn
10.1007/s13147-016-0432-5,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2016,issn_1,1869-4179,1998,issn
10.1007/s13147-016-0417-4,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2016,issn_1,1869-4179,1998,issn
10.1007/s13147-018-0541-4,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2018,issn_1,1869-4179,1998,issn
10.1007/s13147-018-0545-0,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2018,issn_1,1869-4179,1998,issn
10.1007/s13147-018-0547-y,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2018,issn_1,1869-4179,1998,issn
10.1007/s13147-018-0539-y,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2018,issn_1,1869-4179,1998,issn
10.1007/s13147-018-0550-3,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2018,issn_1,1869-4179,1998,issn
10.1007/s13147-018-0551-2,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2018,issn_1,1869-4179,1998,issn
10.1007/s13147-018-0552-1,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2018,issn_1,1869-4179,1998,issn
10.1007/s13147-018-0554-z,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2018,issn_1,1869-4179,1998,issn
10.1007/s13147-018-0553-0,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2018,issn_1,1869-4179,1998,issn
10.1007/s13147-018-0549-9,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2018,issn_1,1869-4179,1998,issn
10.1007/s13147-018-0555-y,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2018,issn_1,1869-4179,1998,issn
10.1007/s13147-015-0375-2,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2016,issn_1,1869-4179,1998,issn
10.1007/s13147-016-0376-9,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2016,issn_1,1869-4179,1998,issn
10.1007/s13147-016-0377-8,http://creativecommons.org/licenses/by-nc-nd/3.0,Raumforschung und Raumordnung,Walter de Gruyter GmbH,2016,issn_1,1869-4179,1998,issn
